DNI,nombre_completo,promedio_ponderado,creditos_aprobados,facultad,anio_ingreso,condicion_socioeconomica
20487177,Régulo Borja Caballero,15.46,198,Estomatología,2018,Bajo
87764396,Rubén de Villanueva,11.8,84,Ciencias,2020,Bajo
12453299,Aristides Baeza Rosales,17.02,47,Psicología,2024,Medio
80114774,Rosaura Huertas,19.03,138,Ciencias,2019,Bajo
42968532,Chuy Tamarit,15.78,132,Estomatología,2019,Alto
28389845,María Belén Sainz,11.36,35,Ciencias,2021,Alto
21165633,Sarita Adadia,12.69,78,Veterinaria,2024,Medio
12932337,Haroldo Aller Ríos,19.74,56,Psicología,2022,Alto
11806839,Rómulo Bermejo Mendez,18.69,28,Ciencias,2021,Medio
77344869,Isidora Ramirez Pablo,17.4,42,Ciencias,2022,Bajo
93393465,Marcial Múgica Gallo,19.63,187,Veterinaria,2018,Alto
16982511,Victoriano Severo Ibañez Lucena,13.15,57,Veterinaria,2021,Alto
37590706,Rocío del Elorza,12.73,154,Salud Pública,2020,Alto
50323805,Gil Quevedo Aller,17.04,190,Salud Pública,2019,Alto
86128050,Ariadna del Padilla,11.61,150,Salud Pública,2022,Alto
67204594,Lorenza Vázquez Riba,13.8,105,Psicología,2021,Bajo
60265215,Pedro Castrillo Ribes,17.19,112,Estomatología,2021,Alto
58700102,Aura Saez,16.46,104,Veterinaria,2021,Bajo
54293269,Ale Escalona Mayoral,19.56,123,Estomatología,2021,Bajo
11299638,Begoña Acosta Lumbreras,16.62,164,Salud Pública,2021,Medio
24500360,Gabino Águila Nicolás,11.77,56,Veterinaria,2018,Bajo
65427753,Judith Mas-Alemán,13.53,116,Veterinaria,2019,Medio
38625749,Griselda Roig-Márquez,17.31,129,Medicina,2019,Alto
69622967,Juan Francisco Salamanca-Balaguer,12.83,29,Medicina,2018,Alto
51276943,Cruz Barba Avilés,18.89,75,Medicina,2022,Alto
39961574,Carmelo Carpio-Valencia,18.33,50,Salud Pública,2018,Alto
11006198,Aurora Viñas-Fonseca,18.53,21,Medicina,2022,Bajo
45482832,Narcisa Acedo Zaragoza,11.47,195,Medicina,2023,Alto
54361350,Silvio Ángel,11.64,85,Estomatología,2022,Alto
16352313,Nidia Feijoo Santana,16.19,168,Psicología,2021,Alto
38516710,Melania Criado-Canales,14.4,127,Estomatología,2023,Alto
79767632,Sancho Vilaplana-Burgos,17.26,192,Estomatología,2018,Bajo
32179682,Leocadia del Arnal,16.4,168,Veterinaria,2021,Alto
63041174,Sosimo Criado Cortes,15.93,195,Medicina,2023,Bajo
42196181,Clímaco del Baena,11.39,73,Salud Pública,2021,Bajo
88959329,Adalberto Atienza-Cobos,17.2,182,Veterinaria,2018,Medio
13614345,Julia Caballero,15.09,182,Veterinaria,2022,Bajo
64351252,Celestino de Guijarro,17.51,36,Ciencias,2023,Bajo
25282812,Luis Ángel Zacarías Olmedo Alberola,13.76,88,Psicología,2022,Alto
44579261,Eli Barco Saldaña,11.27,123,Medicina,2022,Bajo
11215483,Valentín Carrasco Oliveras,13.89,142,Ciencias,2024,Alto
56599158,Américo Quintana Bonet,11.8,141,Veterinaria,2019,Alto
39441929,Pepito Mariano Barral Vendrell,19.95,97,Veterinaria,2024,Alto
45671364,Itziar Gálvez Barrera,13.09,99,Veterinaria,2018,Bajo
98203598,Ema Quintero Vilanova,15.3,52,Psicología,2019,Alto
89068984,Eva María Beltrán Cerdá,12.13,193,Veterinaria,2020,Alto
47384530,Claudia Isabel Benet Agustí,12.77,52,Salud Pública,2018,Alto
37169883,Edelmiro Barba Godoy,13.34,148,Ciencias,2019,Bajo
76783898,Flora Bravo-Cruz,16.07,80,Salud Pública,2020,Alto
17894699,Plácido de Buendía,18.37,194,Estomatología,2018,Bajo
46885444,Elpidio Contreras Méndez,19.46,128,Salud Pública,2022,Medio
83157656,Maribel Aznar Jáuregui,18.01,40,Veterinaria,2019,Alto
40121320,Zacarías Collado Verdejo,15.63,88,Ciencias,2018,Bajo
12499210,Ruperta de Guerra,12.6,82,Veterinaria,2021,Alto
79782728,Evita Vázquez Cordero,16.52,156,Salud Pública,2019,Medio
76950345,Gaspar Pujol,14.86,197,Psicología,2023,Medio
94718470,Julieta Reina Baena,19.64,167,Medicina,2018,Medio
10806126,Hermenegildo Araujo Benet,17.23,77,Medicina,2021,Bajo
79877396,Crescencia Alcaraz Salazar,12.72,37,Salud Pública,2023,Alto
59863269,Catalina Cazorla Roldán,14.46,198,Estomatología,2019,Medio
44832343,Feliciano Mariscal Ramón,12.17,142,Estomatología,2024,Alto
62664895,Modesto Herranz Esparza,15.31,47,Psicología,2021,Bajo
24607580,Florentino Villar Rubio,15.35,174,Psicología,2024,Alto
10767590,Noé Calleja Fábregas,11.31,200,Ciencias,2022,Bajo
43295483,Gabino Jurado Lluch,16.38,36,Veterinaria,2023,Medio
11103368,Isaac Neira Hurtado,19.1,134,Estomatología,2023,Alto
17880862,Domitila Llanos,12.57,99,Psicología,2018,Alto
60274437,Narciso Morata Bonet,14.18,29,Psicología,2020,Alto
80887194,Melisa Pilar Verdú Contreras,15.18,35,Veterinaria,2018,Bajo
41579829,Manolo Landa Oliva,12.91,84,Salud Pública,2018,Medio
74704289,Irma Bolaños,16.77,74,Veterinaria,2023,Alto
76695723,Ángel Ayala,15.8,137,Medicina,2023,Medio
60761133,Eutimio Calixto Cantón Guijarro,11.74,27,Estomatología,2023,Alto
78941032,Jonatan Molina Rubio,12.1,111,Medicina,2020,Medio
64156356,Flora Bejarano Arévalo,12.75,150,Psicología,2018,Bajo
53788892,Úrsula Aller España,17.95,115,Psicología,2021,Medio
71839091,Priscila de Báez,15.94,162,Salud Pública,2021,Alto
50102409,Victoriano Álvaro Jordán,11.07,62,Estomatología,2024,Bajo
23615968,Fermín Sala Codina,18.03,190,Veterinaria,2022,Medio
11532942,Alejo Sotelo Llopis,16.55,53,Salud Pública,2021,Bajo
87282944,Ale Lledó Domínguez,19.05,43,Veterinaria,2023,Medio
68650112,Olivia Imelda Rocha Alcaraz,18.73,146,Psicología,2018,Bajo
10929272,Hugo Zabaleta Moles,12.85,90,Veterinaria,2024,Bajo
50095993,Marco Abad Solana,18.28,197,Medicina,2019,Alto
